horizon,label,median_sharpe,iqr,max_abs_delta,ratio_to_iqr,sign_flips,perturbations,frac_positive,trades
long,buy_and_hold,0.53383105432224,1.4338485891176893,,,0,0,0.6785714285714286,16
long,ma_crossover,0.28993439019525385,1.1624071528058109,0.1867800681924533,0.16068385998968157,0,4,0.5238095238095238,16
long,macd,0.5166178090401649,1.1418751024718885,0.1256506356978584,0.11003886101540755,0,6,0.7619047619047619,50
long,ts_momentum,0.199616111874506,2.340955705122558,0.14595871531642332,0.062350054294932435,0,2,0.5238095238095238,54
long,sma_regime,0.2535652074541983,1.6200723618430983,0.20609842695003253,0.12721556876358395,0,2,0.7142857142857143,44
long,breakout,0.14042641075584708,1.6757165925346729,0.30440117579314685,0.1816543305408897,2,4,0.6190476190476191,18
long,bb_breakout,-0.34861383793007833,1.9051224210651818,0.5445843861724885,0.2858526990974173,1,4,0.42857142857142855,32
long,keltner,-0.15985634305479196,2.202784278395908,0.13480257061593948,0.06119644666889679,0,6,0.38095238095238093,34
long,rsi,0.5934893158650294,0.8954075695815996,0.26708764444177097,0.2982861140726943,0,4,0.7142857142857143,10
long,stochastic,0.3157061457043147,0.7519904141086055,0.2750462748221887,0.3657576874144374,0,4,0.5714285714285714,34
long,bb_reversion,0.1198036403097869,0.22210532862975438,0.29628667513364454,1.3339917459952038,2,4,0.7619047619047619,24
long,zscore,0.1198036403097869,0.22210532862975438,0.29628667513364454,1.3339917459952038,2,4,0.7619047619047619,24
long,vwap_reversion,-0.16156950472281073,0.4204801800836173,0.22613037600966107,0.5377908085101477,0,4,0.2857142857142857,54
long,grid,0.09517336776411978,0.868820216164899,0.17132056905547324,0.19718759516405773,2,6,0.5238095238095238,675
long,obv_trend,0.7740954549380439,1.5712656370577331,0.1994003809057825,0.1269043096233994,0,2,0.8095238095238095,98
long,voltarget,0.2946964905553242,1.5583492055260586,0.20837351490328246,0.13371426260838687,0,6,0.7619047619047619,661
long,dual_momentum,0.35838933031010595,1.7146201665532446,0.2490095384491176,0.14522723067563142,0,3,0.5714285714285714,156
long,adx_trend,0.6507584349439356,2.285920681830633,1.2272741765181547,0.536883972516193,1,4,0.5714285714285714,14
long,ma_ribbon,0.17147617920186625,1.31870797776693,0.17092788967444617,0.12961769592377195,0,4,0.5714285714285714,1030
long,ichimoku,0.24271818715531185,0.9502301064990099,0.14167707063290158,0.14909764452201052,0,8,0.7142857142857143,56
long,ou_reversion,0.41221928193797036,0.805954648052074,0.4434089844476927,0.5501661731455681,2,6,0.7333333333333333,24
long,hurst_switch,0.5576851823269191,1.504738356204024,0.3521202968962681,0.23400765684245303,0,6,0.8,32
long,vol_regime,0.6963665172944979,0.8229623956700485,0.3643243002183903,0.4426985997601516,0,6,0.8,54
long,atr_sized,0.15602119797835798,1.715299592605597,0.27315783263849314,0.15924788521844008,1,4,0.6666666666666666,672
long,garch_voltarget,0.23917906643601014,1.5577441415414361,0.22110908163911241,0.1419418476646095,0,5,0.7619047619047619,672
