window,top_k,direction,margin,book,is_sharpe,is_monthly_pct,oos_sharpe,oos_monthly_pct,oos_gross_sharpe,oos_rotations,oos_max_dd,decay_sharpe,rankable
20,1,reversion,0.0,long_only,-0.044149087094845406,-3.433780092228611,-0.7204880972216131,-7.943084548831725,-0.5156677112108589,171,-0.845781884358949,0.6763390101267677,True
20,1,reversion,0.0,neutral,-3.2992416074418593,-12.925273866136477,-3.449939839331922,-17.52232232242016,-2.0316465560529613,270,-0.9738064680310888,0.15069823189006248,True
20,1,reversion,0.25,long_only,-0.14047606911972743,-4.042078102340985,-0.3964126191893253,-5.7860720524503195,-0.2504593159083525,122,-0.779181616535483,0.25593655006959787,True
20,1,reversion,0.25,neutral,-3.200800917142959,-12.525483741944864,-3.039568986772483,-15.620326610490354,-1.676223972205908,209,-0.9630990615888438,-0.16123193037047612,True
20,1,reversion,0.5,long_only,0.024646117158698924,-2.9468109353687044,-0.27275276345858673,-4.898656571571469,-0.1767338818858042,80,-0.7135587894332162,0.29739888061728564,True
20,1,reversion,0.5,neutral,-3.0858750674288133,-12.091577396929786,-3.1018920022039835,-15.842046300662016,-1.802915235900803,148,-0.9618019917300853,0.01601693477517019,True
20,1,momentum,0.0,long_only,1.347113895811794,7.499124604841745,1.5483405092315436,10.49595228034843,1.6780468846371097,151,-0.6635894640565656,-0.20122661341974957,True
20,1,momentum,0.0,neutral,-0.3393667367881583,-2.1980210968200686,0.6140978272044331,1.637878460102149,2.0316465560529613,270,-0.47137756241188306,-0.9534645639925914,True
20,1,momentum,0.25,long_only,1.2490031635383152,6.583281152779175,1.3880341548749833,8.721914036339417,1.490808576441884,120,-0.6866625537280403,-0.13903099133666807,True
20,1,momentum,0.25,neutral,-0.2622878984282415,-1.8891733684099687,0.3145504310082461,0.10910425053480832,1.676223972205908,209,-0.5541889265952314,-0.5768383294364876,True
20,1,momentum,0.5,long_only,1.3099025243754463,7.155965318604518,1.5927719539410878,11.000839785437023,1.664585098781408,83,-0.6543487525443991,-0.28286942956564154,True
20,1,momentum,0.5,neutral,-0.28334054620159,-1.9596538131454455,0.5048414923627234,1.0775985888418216,1.802915235900803,148,-0.4980368664240975,-0.7881820385643133,True
20,2,reversion,0.0,long_only,0.09370298485251746,-1.8050022323917725,-0.6863568766283562,-6.346641728360403,-0.562184773748773,167,-0.7601590244603669,0.7800598614808737,True
20,2,reversion,0.0,neutral,-4.3388339638746904,-10.292659696594974,-4.246298695617402,-12.150501003411273,-1.9900614289657703,264,-0.9122626348644449,-0.0925352682572882,True
20,2,reversion,0.25,long_only,0.16127774838278322,-1.3765710648178664,-0.8375872745570573,-7.351704535718784,-0.7522478268547865,116,-0.8052510383647652,0.9988650229398405,True
20,2,reversion,0.25,neutral,-4.1520639236765,-9.850823606077508,-4.18865062948318,-12.093308982023032,-2.0184186037783993,193,-0.9111610086503817,0.03658670580668044,True
20,2,reversion,0.5,long_only,0.21631392277147476,-1.024735460515036,-0.7317130996707852,-6.627614690252692,-0.6650910118457514,89,-0.778457277260016,0.94802702244226,True
20,2,reversion,0.5,neutral,-4.066649927502509,-9.690669134186747,-4.044562596020457,-11.361559831976164,-1.8526195029168468,146,-0.8960324026903355,-0.02208733148205244,True
20,2,momentum,0.0,long_only,1.3107261901565277,6.20952587297996,1.0863143416202767,4.791729091073527,1.198184761719025,173,-0.4801335639550458,0.22441184853625096,True
20,2,momentum,0.0,neutral,-1.0817258544140722,-2.9169324497087423,-0.26838535805363056,-1.280186031451458,1.9900614289657703,264,-0.4176949831916103,-0.8133404963604416,True
20,2,momentum,0.25,long_only,1.2748503950232843,5.965728176864182,1.0411126880757868,4.46546796715237,1.1258631830491461,130,-0.4858380304759502,0.23373770694749751,True
20,2,momentum,0.25,neutral,-1.1319228156106926,-3.019452788822019,-0.06879361385116156,-0.7007887941342328,2.119795365592032,193,-0.36443041865408166,-1.063129201759531,True
20,2,momentum,0.5,long_only,1.2820582470371855,6.006515647871491,0.8805228533294792,3.3413285277140936,0.9448923463944701,99,-0.5085821235487169,0.4015353937077063,True
20,2,momentum,0.5,neutral,-1.1479943151081469,-3.0328829310323213,-0.34063005111444333,-1.4425431566129965,1.8526195029168468,146,-0.3825699434304243,-0.8073642639937035,True
30,1,reversion,0.0,long_only,0.19418886467305221,-1.76548149907918,-0.21364388864030012,-4.451803275891164,-0.016329252394609292,163,-0.6492090769209995,0.40783275331335234,True
30,1,reversion,0.0,neutral,-2.867170662582256,-11.352057275556593,-3.2797280420766772,-16.5275028815731,-1.878908363474309,236,-0.9659899563609452,0.4125573794944213,True
30,1,reversion,0.25,long_only,0.17428431450482756,-1.977734085459626,-0.21755422974255714,-4.553620935392255,-0.10162655258391395,97,-0.6750553759951878,0.39183854424738473,True
30,1,reversion,0.25,neutral,-2.7585703342791543,-10.844958164604401,-3.0585135643334467,-15.927239753186695,-1.7655013854758375,162,-0.96205301881907,0.29994323005429235,True
30,1,reversion,0.5,long_only,0.18899868730202224,-1.8816088381368279,-0.3261161510371749,-5.1729155571437975,-0.25233756908755417,61,-0.7094087359499006,0.5151148383391971,True
30,1,reversion,0.5,neutral,-2.7807824006278206,-10.771467308631644,-3.1532853455813803,-16.118490596587343,-1.896806701548065,107,-0.9635773255073964,0.37250294495355973,True
30,1,momentum,0.0,long_only,1.1892057161487772,6.093558709554281,1.771367101239812,12.927606774012169,1.8696929069523187,113,-0.6178096792899972,-0.5821613850910348,True
30,1,momentum,0.0,neutral,-0.6594978763027987,-3.372012144216485,0.47735723862674656,0.9413436677703002,1.878908363474309,236,-0.4865170992109006,-1.1368551149295452,True
30,1,momentum,0.25,long_only,1.1171447302075443,5.436262719785145,1.6512931330733909,11.604539888697985,1.7254604638757194,86,-0.6233805691032033,-0.5341484028658465,True
30,1,momentum,0.25,neutral,-0.6246348587648336,-3.2005916434607373,0.47219077847833885,0.9005989134790671,1.7655013854758375,162,-0.5222821421673711,-1.0968256372431724,True
30,1,momentum,0.5,long_only,1.1635345237290284,5.848093963851286,1.6884664864010863,11.990430710284317,1.7388617478088508,58,-0.6753134131714106,-0.5249319626720579,True
30,1,momentum,0.5,neutral,-0.5478818217459628,-2.862349312466961,0.640903755585372,1.7734543268806968,1.896806701548065,107,-0.5047276947563679,-1.188785577331335,True
30,2,reversion,0.0,long_only,0.16400896594075495,-1.3307428123374487,-0.4238041325387944,-4.896631304554278,-0.31702841193120923,144,-0.6885577335455649,0.5878130984795493,True
30,2,reversion,0.0,neutral,-4.0500521486774055,-9.622594502747084,-3.8697156890993574,-10.995983933244158,-1.5956890334653253,259,-0.8865544824564681,-0.18033645957804811,True
30,2,reversion,0.25,long_only,0.21324542271077587,-1.046677117676842,-0.31718383793688615,-4.407224082136684,-0.2504930066928706,92,-0.6646471961706184,0.530429260647662,True
30,2,reversion,0.25,neutral,-3.896201163247321,-9.346996225212523,-3.6432376477863655,-10.639287700575473,-1.51580920860505,149,-0.8795069858460783,-0.2529635154609555,True
30,2,reversion,0.5,long_only,0.25986158810822857,-0.7553515817051659,-0.45466775155235334,-5.064278589282045,-0.4036125526118286,67,-0.6959233802586521,0.7145293396605819,True
30,2,reversion,0.5,neutral,-3.7855152566093992,-9.041303203023165,-3.759051227599123,-10.715292436884205,-1.6194671125778581,113,-0.8813898626109671,-0.026464029010276224,True
30,2,momentum,0.0,long_only,1.1970635550866706,5.429797282225168,0.9526092539591307,3.8422025600771015,1.063616932652464,172,-0.5328652391760841,0.24445430112753996,True
30,2,momentum,0.0,neutral,-1.2249544558098777,-3.240900742723918,-0.6802274495503506,-2.414605959378646,1.5956890334653253,259,-0.4441999008148681,-0.5447270062595271,True
30,2,momentum,0.25,long_only,1.195382761465314,5.426414001652313,1.0386095420186123,4.40308248695036,1.1014182168219564,94,-0.5383391604830771,0.15677321944670175,True
30,2,momentum,0.25,neutral,-1.1947013872093932,-3.1890583984301113,-0.6135390733833253,-2.2852157608573176,1.51580920860505,149,-0.4560422479432377,-0.581162313826068,True
30,2,momentum,0.5,long_only,1.1645284216473075,5.201930652025433,0.9734351139637524,3.9591988497311936,1.0229747556091722,74,-0.5559392937682602,0.19109330768355515,True
30,2,momentum,0.5,neutral,-1.2930799497981453,-3.390407265884654,-0.5215931884943388,-1.9694717809117468,1.6194671125778581,113,-0.47502159865656396,-0.7714867613038066,True
45,1,reversion,0.0,long_only,0.022216861557221187,-2.9860438397080413,-0.18985153444757624,-4.07254342689789,-0.04155783557782129,119,-0.5676717008024368,0.21206839600479743,True
45,1,reversion,0.0,neutral,-2.7334835371928206,-10.690513502708555,-2.9330520061906817,-15.032798839457639,-1.5850738448302228,193,-0.9523703780426364,0.19956846899786118,True
45,1,reversion,0.25,long_only,0.3159435050937411,-0.9275612183201054,-0.29344841597449717,-4.723717467554978,-0.21737200274295954,61,-0.6121417169555216,0.6093919210682383,True
45,1,reversion,0.25,neutral,-2.251178250949411,-9.095636641644289,-2.754690324341231,-14.394451692572375,-1.4953873289356914,113,-0.9463171989205492,0.5035120733918199,True
45,1,reversion,0.5,long_only,0.19345353131799223,-1.8703875119070346,-0.282659982310696,-4.777425237685618,-0.23376678567074397,40,-0.638161978277802,0.47611351362868826,True
45,1,reversion,0.5,neutral,-2.4115396989594458,-9.851941607263514,-2.6177497528935176,-13.91112071720828,-1.3997680633283418,79,-0.9395393969359652,0.20621005393407188,True
45,1,momentum,0.0,long_only,0.935280667086038,3.846131804168551,1.4608265631766038,9.483634067472057,1.5412139689995183,94,-0.764156512641451,-0.5255458960905658,True
