horizon,blocks,k,strategy,median_sharpe,frac_positive,trades
medium,6,2,hurst_switch,0.7263813783682408,1.0,24
medium,7,2,hurst_switch,0.5791097804891027,0.7333333333333333,30
medium,8,2,hurst_switch,0.6988538792467518,0.9333333333333333,24
medium,9,2,hurst_switch,0.6457431328687883,0.8571428571428571,24
medium,10,2,hurst_switch,0.6810803698502166,0.7857142857142857,24
medium,11,2,hurst_switch,0.7135390645159947,0.5833333333333334,24
medium,12,2,hurst_switch,0.7469809266800735,0.6444444444444445,24
medium,6,2,bb_breakout,0.8359032515286731,0.7,56
medium,7,2,bb_breakout,0.6839894681188817,0.6666666666666666,58
medium,8,2,bb_breakout,0.4812586198405186,0.6666666666666666,58
medium,9,2,bb_breakout,0.4718322595046313,0.6785714285714286,58
medium,10,2,bb_breakout,0.8056042485810966,0.6944444444444444,62
medium,11,2,bb_breakout,0.48259351744710555,0.6444444444444445,62
medium,12,2,bb_breakout,0.7392171338954459,0.6909090909090909,58
medium,6,2,buy_and_hold,0.5868401982997776,0.8,12
medium,7,2,buy_and_hold,0.697324207882363,0.7142857142857143,14
medium,8,2,buy_and_hold,0.53383105432224,0.6785714285714286,16
medium,9,2,buy_and_hold,0.42273231721499543,0.5833333333333334,18
medium,10,2,buy_and_hold,0.6078770187088114,0.6666666666666666,20
medium,11,2,buy_and_hold,0.6796033761098708,0.5636363636363636,22
medium,12,2,buy_and_hold,0.46230591580291247,0.5909090909090909,24
medium,6,2,ou_reversion,0.4355066796063265,0.8,28
medium,7,2,ou_reversion,0.9208072766907711,0.9333333333333333,28
medium,8,2,ou_reversion,0.41221928193797036,0.9333333333333333,26
medium,9,2,ou_reversion,0.45396032032401923,0.8571428571428571,28
medium,10,2,ou_reversion,0.22448508942211026,0.6071428571428571,28
medium,11,2,ou_reversion,0.44253634075056425,0.7222222222222222,28
medium,12,2,ou_reversion,0.48834757481627067,0.6222222222222222,28
medium,6,2,macd,0.6604394880645128,0.7,108
medium,7,2,macd,0.6207127834419809,0.6666666666666666,114
medium,8,2,macd,0.32063561817327296,0.6666666666666666,118
medium,9,2,macd,0.26315171392683384,0.5714285714285714,122
medium,10,2,macd,0.4094069248472797,0.6388888888888888,130
medium,11,2,macd,0.2984663711110381,0.6222222222222222,128
medium,12,2,macd,0.3740884899541434,0.5818181818181818,130
medium,6,2,adx_trend,0.971876495365926,0.8,44
medium,7,2,adx_trend,0.34880741092786777,0.6,42
medium,8,2,adx_trend,0.33589376000232496,0.7142857142857143,44
medium,9,2,adx_trend,-0.20202873834337837,0.4642857142857143,48
medium,10,2,adx_trend,0.26624271213545936,0.5833333333333334,46
medium,11,2,adx_trend,0.0946299101355414,0.5555555555555556,52
medium,12,2,adx_trend,0.40143709318349685,0.5818181818181818,46
medium,6,2,keltner,0.5770901504845829,0.8,38
medium,7,2,keltner,0.47785671493554244,0.6,38
medium,8,2,keltner,0.21341015660241713,0.7619047619047619,38
medium,9,2,keltner,0.14654733490087837,0.6071428571428571,40
medium,10,2,keltner,0.3827434530144428,0.6666666666666666,40
medium,11,2,keltner,-0.1460122587245907,0.4222222222222222,38
medium,12,2,keltner,0.2941650499559067,0.6727272727272727,40
medium,6,2,obv_trend,0.618448562566784,0.7,206
medium,7,2,obv_trend,0.32372830135774117,0.8,212
medium,8,2,obv_trend,0.18858232510559558,0.6666666666666666,220
medium,9,2,obv_trend,0.19886936545669062,0.6071428571428571,228
medium,10,2,obv_trend,0.3500346988479348,0.6111111111111112,232
medium,11,2,obv_trend,-0.10347743868718484,0.4444444444444444,224
medium,12,2,obv_trend,0.26174108750110886,0.6,230
medium,6,2,rsi,0.22120223348636664,0.7,20
medium,7,2,rsi,0.4046920053144181,0.6666666666666666,24
medium,8,2,rsi,0.2382302904053016,0.7142857142857143,18
medium,9,2,rsi,-0.006116733649546053,0.4642857142857143,18
medium,10,2,rsi,-0.2883702138683166,0.3888888888888889,18
medium,11,2,rsi,0.5361121045983912,0.6222222222222222,24
medium,12,2,rsi,0.16284257712630346,0.6,26
medium,6,2,stochastic,0.003177351919910934,0.5,54
medium,7,2,stochastic,0.2465412663033286,0.5333333333333333,56
medium,8,2,stochastic,-0.04337882564273385,0.47619047619047616,56
medium,9,2,stochastic,0.3271807767303029,0.6071428571428571,62
medium,10,2,stochastic,0.16555301259303118,0.5277777777777778,60
medium,11,2,stochastic,0.2785551469088995,0.6444444444444445,62
medium,12,2,stochastic,0.1909158318233202,0.5636363636363636,66
medium,6,2,breakout,0.5546388696901485,0.7,50
medium,7,2,breakout,0.19211093586465183,0.6,50
medium,8,2,breakout,0.07815893865840046,0.5238095238095238,52
medium,9,2,breakout,-0.05057333509008113,0.42857142857142855,54
medium,10,2,breakout,0.29587352617812923,0.6944444444444444,54
medium,11,2,breakout,0.06385132371368776,0.5333333333333333,54
medium,12,2,breakout,0.08654526637433183,0.5454545454545454,54
medium,6,2,zscore,-0.07342907109814943,0.4,52
medium,7,2,zscore,0.2803206438780057,0.5333333333333333,54
medium,8,2,zscore,0.03626502465125298,0.5238095238095238,50
medium,9,2,zscore,0.04808643264794933,0.5,54
medium,10,2,zscore,0.015220699974618468,0.5277777777777778,56
medium,11,2,zscore,0.2426097803370448,0.6222222222222222,58
