asset,strategy,n_paths,usable_blocks,median_sharpe,q1_sharpe,q3_sharpe,frac_paths_positive,median_return,total_trades
DOGE,adx_trend,21,7,0.1878550328318433,-0.7210858703138071,0.916376128896584,0.6666666666666666,-0.07271139699465912,54
DOGE,atr_sized,21,7,0.2669901623735327,-0.046853000190131985,0.8856343488842118,0.6666666666666666,0.01613180147580273,646
DOGE,bb_breakout,21,7,0.4524133313881711,-0.0364054993735549,0.9819713292673478,0.7142857142857143,0.14172199161784405,60
DOGE,bb_reversion,21,7,-0.32882861338130714,-0.43885624010833946,-0.20377980768335138,0.0,-0.28704951671226975,58
DOGE,breakout,21,7,0.3408001769801001,0.18453643714507953,1.1243504055833344,0.7619047619047619,0.023662279327395286,34
DOGE,buy_and_hold,28,8,-0.040580232265830185,-0.32928092487371735,0.5590137587757156,0.4642857142857143,-0.4098027077185617,16
DOGE,dual_momentum,21,7,0.5775338142464099,0.046143426682707246,0.9765125568731943,0.7619047619047619,0.23804455815502057,246
DOGE,garch_voltarget,21,7,0.2622932055203356,-0.1561758018369234,0.9022820985068656,0.6666666666666666,0.04320365853178254,569
DOGE,grid,21,7,-0.1408517891500384,-0.3467987941139248,0.24724519595430994,0.38095238095238093,-0.15102037820750958,756
DOGE,hurst_switch,15,6,-0.6655515851820621,-1.0526535069062124,-0.4672207622532178,0.0,-0.2849467715792364,34
DOGE,ichimoku,21,7,0.19399805125251324,-0.4174154165615363,0.7124246712014288,0.5714285714285714,-0.04180897321939503,76
DOGE,keltner,21,7,0.2429375113360201,-0.018289981351523255,1.2670176546446446,0.7142857142857143,-0.0038945954467729527,34
DOGE,ma_crossover,21,7,0.3024350626216438,-0.004883649131069099,0.9861390828786836,0.7142857142857143,-0.04363794253247699,36
DOGE,ma_ribbon,21,7,0.23676422864727742,-0.3937945204826373,0.7542263944382194,0.6666666666666666,-0.001208842719055303,935
DOGE,macd,21,7,0.423990133131258,-0.0039233729274700865,0.6904495042096221,0.7142857142857143,0.033683973512009135,126
DOGE,obv_trend,21,7,0.36304598927510284,0.19084336343176342,0.9899993158649905,0.8571428571428571,0.03245848155243447,228
DOGE,ou_reversion,15,6,-0.14664329783220792,-0.3568453036756246,-0.11966609499634265,0.0,-0.09409267336970972,28
DOGE,rsi,21,7,0.09439895441693791,-0.15442138016538437,0.5111077488195368,0.6190476190476191,-0.026970065522440856,22
DOGE,sma_regime,21,7,0.25004854443784547,-0.2794429050062255,0.8064885852894755,0.6666666666666666,-0.16434125900121466,66
