horizon,size,mode,a,b,corr,agree_active,both_flat,redundant
short,2,all,all(bb_breakout+rsi),all(bb_breakout+zscore),,,True,True
short,2,all,all(bb_breakout+bb_reversion),all(bb_breakout+zscore),,,True,True
short,2,all,all(keltner+rsi),all(keltner+bb_reversion),,,True,True
short,2,all,all(keltner+rsi),all(keltner+zscore),,,True,True
short,2,all,all(keltner+bb_reversion),all(keltner+zscore),,,True,True
short,2,all,all(rsi+stochastic),all(stochastic+bb_reversion),0.9012974856287611,0.8550578761952693,False,True
short,2,all,all(rsi+stochastic),all(stochastic+zscore),0.8990848270042364,0.851063829787234,False,True
short,2,all,all(stochastic+bb_reversion),all(stochastic+zscore),0.9886537183648987,0.9820426487093153,False,True
short,2,all,all(rsi+vwap_reversion),all(bb_reversion+vwap_reversion),0.8842540337373483,0.8426614481409002,False,True
short,2,all,all(rsi+vwap_reversion),all(zscore+vwap_reversion),0.8785504795949127,0.8340542666142352,False,True
short,2,all,all(bb_reversion+vwap_reversion),all(zscore+vwap_reversion),0.9867191716358202,0.9803834150691039,False,True
short,2,all,all(rsi+ou_reversion),all(bb_reversion+ou_reversion),0.9630855762023622,0.9386590584878745,False,True
short,2,all,all(rsi+ou_reversion),all(zscore+ou_reversion),0.9630855762023622,0.9386590584878745,False,True
short,2,all,all(bb_reversion+ou_reversion),all(zscore+ou_reversion),1.0,1.0,False,True
short,2,all,all(rsi+obv_trend),all(bb_reversion+obv_trend),0.721525754175252,0.5722070844686649,False,False
short,2,all,all(rsi+obv_trend),all(zscore+obv_trend),0.7274326556874382,0.5785123966942148,False,False
short,2,all,all(bb_reversion+obv_trend),all(zscore+obv_trend),0.9921275213886239,0.9847908745247148,False,True
short,2,any,any(ma_crossover+ts_momentum),any(ma_crossover+dual_momentum),0.9011526028800323,0.9190085870413739,False,True
short,2,any,any(ma_crossover+rsi),any(ma_crossover+bb_reversion),0.8848595327174756,0.9417252982563475,False,True
short,2,any,any(ma_crossover+rsi),any(ma_crossover+zscore),0.8819100218668684,0.9394357559030972,False,True
short,2,any,any(ma_crossover+bb_reversion),any(ma_crossover+zscore),0.9864329509734967,0.9926902907993008,False,True
short,2,any,any(macd+ts_momentum),any(macd+dual_momentum),0.8716079413536092,0.9408736578908663,False,True
short,2,any,any(macd+rsi),any(macd+bb_reversion),0.9096790137391451,0.9418918918918919,False,True
short,2,any,any(macd+rsi),any(macd+zscore),0.9093630198641609,0.9410269445856635,False,True
short,2,any,any(macd+bb_reversion),any(macd+zscore),0.9891284694213357,0.9926134365107281,False,True
short,2,any,any(ma_ribbon+ts_momentum),any(ma_ribbon+dual_momentum),0.9193505722651253,0.9942796929098299,False,True
short,2,any,any(ma_ribbon+rsi),any(ma_ribbon+bb_reversion),0.7819380050735175,0.9791069723018148,False,True
short,2,any,any(ma_ribbon+rsi),any(ma_ribbon+zscore),0.7773254409255632,0.9780140996534831,False,True
short,2,any,any(ma_ribbon+bb_reversion),any(ma_ribbon+zscore),0.975938876101098,0.9972181906144171,False,True
short,2,any,any(ichimoku+ts_momentum),any(ichimoku+dual_momentum),0.8830458681036012,0.8996162391436073,False,True
short,2,any,any(ichimoku+rsi),any(ichimoku+bb_reversion),0.8804038538628688,0.9255090216851515,False,True
short,2,any,any(ichimoku+rsi),any(ichimoku+zscore),0.8760172800643703,0.9218257261410788,False,True
short,2,any,any(ichimoku+bb_reversion),any(ichimoku+zscore),0.9861824494711156,0.9907697666318356,False,True
short,2,any,any(ts_momentum+sma_regime),any(dual_momentum+sma_regime),0.8819844773062894,0.9117862371888726,False,True
short,2,any,any(ts_momentum+adx_trend),any(dual_momentum+adx_trend),0.8540558909352576,0.8742430359305612,False,True
short,2,any,any(ts_momentum+hurst_switch),any(dual_momentum+hurst_switch),0.8198055596477055,0.837951301427372,False,True
short,2,any,any(ts_momentum+vol_regime),any(dual_momentum+vol_regime),0.8510528199991056,0.8789107763615296,False,True
short,2,any,any(ts_momentum+breakout),any(dual_momentum+breakout),0.8714066794260636,0.8915159944367177,False,True
short,2,any,any(ts_momentum+bb_breakout),any(dual_momentum+bb_breakout),0.838999609417551,0.8514617368873603,False,True
short,2,any,any(ts_momentum+keltner),any(dual_momentum+keltner),0.8151197824230698,0.8270364708451627,False,True
short,2,any,any(ts_momentum+rsi),any(ts_momentum+bb_reversion),0.8381261365630522,0.9302762910458556,False,True
short,2,any,any(ts_momentum+rsi),any(ts_momentum+zscore),0.8336713137663776,0.9272358312798956,False,True
short,2,any,any(ts_momentum+rsi),any(dual_momentum+rsi),0.7843498365490851,0.9097519247219846,False,True
short,2,any,any(ts_momentum+rsi),any(dual_momentum+bb_reversion),0.6506629139900895,0.8526536312849162,False,False
short,2,any,any(ts_momentum+rsi),any(dual_momentum+zscore),0.6480612300512956,0.8495661908760146,False,False
short,2,any,any(ts_momentum+bb_reversion),any(ts_momentum+zscore),0.9844533051763411,0.9927261706319139,False,True
short,2,any,any(ts_momentum+bb_reversion),any(dual_momentum+rsi),0.6443062122164698,0.8504189944134078,False,False
