what,median_sharpe,iqr,frac_positive,median_return,trades,evaluable
baseline,1.0371696540461388,1.7426597052413169,0.8095238095238095,0.5032293366639717,60,True
adx_trend: adx_period 14→13,0.6388851308186568,1.8432149524630226,0.7619047619047619,0.2769450385167611,70,True
adx_trend: adx_period 14→15,0.8830594999943491,1.7465422147501684,0.9047619047619048,0.517354887219962,46,True
adx_trend: adx_threshold 25→22.5,0.6142023198585875,1.7673368933821956,0.8571428571428571,0.30409606446774395,68,True
adx_trend: adx_threshold 25→27.5,0.6917822961609014,1.8056865826201092,0.8571428571428571,0.3431496895769619,42,True
"geometry: 7 blocks, k=2",1.384042456325893,0.7527283607523192,0.9333333333333333,1.64399199261032,56,True
"geometry: 9 blocks, k=2",0.7991971653109695,1.2870162338053317,0.8571428571428571,0.4773286835550282,62,True
"geometry: 8 blocks, k=3",1.0164419582090436,1.2847540153073802,0.9428571428571428,1.4647030000873675,60,True
