what,median_sharpe,iqr,frac_positive,median_return,trades,evaluable
baseline,0.965303321963032,1.0494498740805256,0.9333333333333333,0.4256482203262659,46,True
hurst_switch: window 250→225,0.5037203752541128,0.7752402442680194,0.8,0.11552284576873828,52,True
hurst_switch: window 250→275,0.5206848033426051,0.5449947746894037,1.0,0.144403843805484,38,True
hurst_switch: lag 10→9,0.9149756364669722,0.7076228143155326,0.9333333333333333,0.4256482203262659,44,True
hurst_switch: lag 10→11,0.6857373280931727,0.7731701978919369,0.8,0.31173546365581917,48,True
hurst_switch: trend_window 200→180,0.965303321963032,1.0494498740805256,0.9333333333333333,0.4256482203262659,46,True
hurst_switch: trend_window 200→220,0.965303321963032,1.1717086484293813,0.9333333333333333,0.4256482203262659,48,True
ou_reversion: fit_window 250→225,0.21082513259706898,1.2316175995170537,0.8,0.029709172885475477,44,True
ou_reversion: fit_window 250→275,0.400111380503674,1.2705742893602205,0.9333333333333333,0.09782787608990673,38,True
ou_reversion: entry_z -2→-1.8,0.996663735668537,0.7446139279619587,1.0,0.5463866069412804,48,True
ou_reversion: entry_z -2→-2.2,0.7734371692612128,1.475932936176823,0.7333333333333333,0.35237672705301426,46,True
ou_reversion: hold_multiple 3→2.7,0.965303321963032,1.0047569194605532,0.9333333333333333,0.4256482203262659,46,True
ou_reversion: hold_multiple 3→3.3,0.965303321963032,1.0911915909287995,0.9333333333333333,0.4256482203262659,46,True
