horizon,size,mode,a,b,corr,agree_active,both_flat,redundant
medium,2,any,any(ma_ribbon+bb_reversion),any(ma_ribbon+zscore),0.9750806523758184,0.998,False,True
medium,2,any,any(ma_crossover+vwap_reversion),any(ma_ribbon+vwap_reversion),0.9011307505945031,0.8099606815203145,False,True
medium,2,any,any(ma_crossover+ou_reversion),any(ma_ribbon+ou_reversion),0.8548546330173447,0.6528189910979229,False,True
medium,2,any,any(ma_crossover+obv_trend),any(ma_ribbon+obv_trend),0.9045373264689337,0.8288222384784198,False,True
medium,2,any,any(macd+bb_reversion),any(macd+zscore),0.9623463811005042,0.9814366424535916,False,True
medium,2,any,any(ichimoku+bb_reversion),any(ichimoku+zscore),0.9691750662188773,0.9763779527559056,False,True
medium,2,any,any(ts_momentum+bb_reversion),any(ts_momentum+zscore),0.9671306729462247,0.9781818181818182,False,True
medium,2,any,any(dual_momentum+bb_reversion),any(dual_momentum+zscore),0.9624718752940793,0.9814066289409863,False,True
medium,2,any,any(sma_regime+bb_reversion),any(sma_regime+zscore),0.967399461590657,0.9780018331805683,False,True
medium,2,any,any(adx_trend+bb_reversion),any(adx_trend+zscore),0.9708507351316129,0.9700374531835206,False,True
medium,2,any,any(hurst_switch+bb_reversion),any(hurst_switch+zscore),0.9656090991705356,0.9523809523809523,False,True
medium,2,any,any(vol_regime+bb_reversion),any(vol_regime+zscore),0.9708262932256312,0.9696586599241467,False,True
medium,2,any,any(breakout+bb_reversion),any(breakout+zscore),0.968372643776283,0.9772296015180265,False,True
medium,2,any,any(bb_breakout+bb_reversion),any(bb_breakout+zscore),0.970516782729396,0.973741794310722,False,True
medium,2,any,any(keltner+bb_reversion),any(keltner+zscore),0.970829132335575,0.9696969696969697,False,True
medium,2,any,any(rsi+bb_reversion),any(rsi+zscore),0.9667836169631081,0.9553072625698324,False,True
medium,2,any,any(stochastic+bb_reversion),any(stochastic+zscore),0.9973992486824558,0.9967948717948718,False,True
