horizon,kind,label,mode,family,n_paths,usable_blocks,median_sharpe,q1_sharpe,q3_sharpe,iqr_spread,frac_paths_positive,median_path_return,total_trades,insufficient,reason
short,pair,any(stochastic+zscore),any,oscillator-reversion+mean-reversion,21,7,-1.2277104477657257,-2.2055804477640697,-0.6974016881405073,1.5081787596235623,0.0,-0.15506855835948008,326,False,
short,pair,all(stochastic+vwap_reversion),all,oscillator-reversion+mean-reversion,21,7,-1.0917938235394384,-1.8576486083747592,-0.38211794783048236,1.4755306605442768,0.23809523809523808,-0.11753879918595522,256,False,
short,pair,any(stochastic+vwap_reversion),any,oscillator-reversion+mean-reversion,21,7,-1.3668992987087851,-2.3594205220043794,-1.0693839504137452,1.2900365715906341,0.0,-0.16559724137733,382,False,
short,pair,all(stochastic+obv_trend),all,oscillator-reversion+volume-flow,21,7,-1.3809192104136396,-2.2112332949596127,1.2421045641383666,3.4533378590979793,0.2857142857142857,-0.04321768010086502,276,False,
short,pair,any(stochastic+obv_trend),any,oscillator-reversion+volume-flow,21,7,-1.1013650698826927,-1.618276540449096,-0.8937213706888473,0.7245551697602487,0.0,-0.20415946428503906,738,False,
short,pair,all(bb_reversion+obv_trend),all,mean-reversion+volume-flow,21,7,-1.9232487780081424,-2.5771259648792753,0.8991788999536563,3.4763048648329313,0.2857142857142857,-0.05950409920588373,202,False,
short,pair,any(bb_reversion+obv_trend),any,mean-reversion+volume-flow,21,7,-1.4065886998347823,-1.9786843073880525,-0.9134655835796683,1.0652187238083841,0.0,-0.2444068770637018,816,False,
short,pair,all(zscore+obv_trend),all,mean-reversion+volume-flow,21,7,-2.0166944981658728,-2.5771259648792753,0.817840119279552,3.394966084158827,0.2857142857142857,-0.06100978234563259,198,False,
short,pair,any(zscore+obv_trend),any,mean-reversion+volume-flow,21,7,-1.5389829986095878,-1.9787911699653928,-0.9499579506522715,1.0288332193131213,0.047619047619047616,-0.22595623907482565,814,False,
short,pair,all(vwap_reversion+obv_trend),all,mean-reversion+volume-flow,21,7,-1.6070898462966714,-3.095090633069378,-0.35360154407750877,2.7414890889918695,0.23809523809523808,-0.06197622865944008,320,False,
short,pair,any(vwap_reversion+obv_trend),any,mean-reversion+volume-flow,21,7,-2.2419770077666743,-2.5358673948198454,-1.3046714015218572,1.2311959932979881,0.0,-0.2880346813631247,748,False,
short,triple,all(ma_crossover+ts_momentum+sma_regime),all,trend+momentum+regime-filter,21,7,-2.7487046751246167,-3.1597348500229807,-1.59205296730104,1.5676818827219408,0.0,-0.19611039057327562,346,False,
short,triple,vote(ma_crossover+ts_momentum+sma_regime),vote,trend+momentum+regime-filter,21,7,-2.0627923516600575,-4.5013512729621015,-1.2342306517148045,3.267120621247297,0.047619047619047616,-0.15043780769254478,3092,False,
short,triple,all(ma_crossover+ts_momentum+breakout),all,trend+momentum+breakout,21,7,-2.784780917816767,-3.893232641752102,-1.89345942239919,1.9997732193529119,0.0,-0.19413622460747348,330,False,
short,triple,vote(ma_crossover+ts_momentum+breakout),vote,trend+momentum+breakout,21,7,-2.9212536193132657,-3.260365882028668,-1.4629655410732196,1.7974003409554484,0.047619047619047616,-0.17839834874491944,3132,False,
short,triple,all(ma_crossover+ts_momentum+rsi),all,trend+momentum+oscillator-reversion,21,7,-1.9325625955420676,-2.589427429734363,-0.33327681002644516,2.2561506197079177,0.19047619047619047,-0.036574953508823116,86,False,
short,triple,vote(ma_crossover+ts_momentum+rsi),vote,trend+momentum+oscillator-reversion,21,7,-2.9083661926814366,-3.9818757271400567,-1.8826193616429432,2.0992563654971135,0.0,-0.20831685292079638,6604,False,
short,triple,all(ma_crossover+ts_momentum+zscore),all,trend+momentum+mean-reversion,21,7,0.2390076194208336,-0.5371355491804201,1.3101377276684554,1.8472732768488753,0.6190476190476191,0.002094458369187757,44,False,
short,triple,vote(ma_crossover+ts_momentum+zscore),vote,trend+momentum+mean-reversion,21,7,-3.0937211755181213,-4.125390717358649,-2.043648001444731,2.081742715913918,0.047619047619047616,-0.21857080621233693,6530,False,
short,triple,all(ma_crossover+ts_momentum+obv_trend),all,trend+momentum+volume-flow,21,7,-2.8917449503164177,-4.463711594155289,-2.520885037734058,1.9428265564212315,0.0,-0.2422089387851738,504,False,
short,triple,vote(ma_crossover+ts_momentum+obv_trend),vote,trend+momentum+volume-flow,21,7,-2.0791898203129864,-2.9220797613096177,-1.0375201891212549,1.8845595721883628,0.047619047619047616,-0.14412077375469312,3172,False,
short,triple,all(ma_crossover+sma_regime+breakout),all,trend+regime-filter+breakout,21,7,-2.0583244080458636,-3.5041232005136282,-0.9016852229661466,2.6024379775474817,0.047619047619047616,-0.14718186493897523,250,False,
short,triple,vote(ma_crossover+sma_regime+breakout),vote,trend+regime-filter+breakout,21,7,-2.3420356776045304,-3.036909792042301,-1.2011828065792876,1.8357269854630136,0.047619047619047616,-0.14254100834236927,3599,False,
short,triple,all(ma_crossover+sma_regime+rsi),all,trend+regime-filter+oscillator-reversion,21,7,-0.45785185292451885,-1.1745782825789735,0.7270422578484672,1.9016205404274407,0.38095238095238093,-0.008749755793265424,88,False,
