a,b,family_a,family_b,cross_family,corr,agree_active,agree_all,redundant
ma_crossover,vwap_reversion,trend,mean-reversion,True,-0.37573103450311207,0.10596436870642913,0.32676154923005135,False
bb_reversion,bb_breakout,mean-reversion,breakout,True,-0.381050526990178,0.0,0.44738684087727487,False
zscore,adx_trend,mean-reversion,regime-filter,True,-0.386346056058835,0.014429729195493181,0.418338777414839,False
vwap_reversion,ichimoku,mean-reversion,trend,True,-0.38776397088678805,0.07005838198498748,0.3496266915538964,False
bb_reversion,adx_trend,mean-reversion,regime-filter,True,-0.3940576388161953,0.0142578125,0.41122258516098925,False
ts_momentum,ou_reversion,momentum,mean-reversion,True,-0.402089276603531,0.008140376266280752,0.3603593093793747,False
rsi,bb_breakout,oscillator-reversion,breakout,True,-0.4022239894943527,0.0,0.4244050396640224,False
ma_crossover,stochastic,trend,oscillator-reversion,True,-0.4050469480555055,0.0641399416909621,0.32594493700419974,False
rsi,adx_trend,oscillator-reversion,regime-filter,True,-0.42606799539012724,0.01125703564727955,0.3852076528231451,False
zscore,ichimoku,mean-reversion,trend,True,-0.43120967906378566,0.027069783793285288,0.35429304713019133,False
bb_reversion,ichimoku,mean-reversion,trend,True,-0.43650805431421774,0.02821316614420063,0.34904339710685955,False
bb_breakout,vwap_reversion,breakout,mean-reversion,True,-0.4366466726959495,0.0,0.3877741483901073,False
ma_crossover,rsi,trend,oscillator-reversion,True,-0.44156682149506354,0.06607310215557638,0.30249650023331776,False
rsi,ichimoku,oscillator-reversion,trend,True,-0.4421100738814923,0.035823429541595925,0.33749416705552965,False
ma_crossover,zscore,trend,mean-reversion,True,-0.4436527572424651,0.05122458780214503,0.30856276248250114,False
ma_crossover,bb_reversion,trend,mean-reversion,True,-0.4477319521772704,0.05323375178770062,0.3049463369108726,False
stochastic,obv_trend,oscillator-reversion,volume-flow,True,-0.45001335289647715,0.06270170585523283,0.288497433504433,False
grid,atr_sized,mean-reversion,sma-gated,True,-0.4537359628035133,0.11779141104294479,0.24510032664489034,False
grid,adx_trend,mean-reversion,regime-filter,True,-0.45392799725909116,0.05549800207192541,0.2554829678021465,False
vwap_reversion,adx_trend,mean-reversion,regime-filter,True,-0.4577425184309213,0.013503909026297086,0.352309846010266,False
ma_ribbon,ou_reversion,trend,mean-reversion,True,-0.460181098783206,0.06338870431893688,0.17778814745683622,False
breakout,stochastic,breakout,oscillator-reversion,True,-0.471395017179201,0.006394316163410302,0.34741017265515634,False
bb_breakout,grid,breakout,mean-reversion,True,-0.4777434209036297,0.014127297584687832,0.24288380774615026,False
breakout,zscore,breakout,mean-reversion,True,-0.4784294611849269,0.003900017727353306,0.344493700419972,False
breakout,bb_reversion,breakout,mean-reversion,True,-0.4854447124481591,0.0043867345148271624,0.3380774615025665,False
vwap_reversion,dual_momentum,mean-reversion,momentum,True,-0.49383483981067733,0.06924673784104389,0.26773215118992066,False
