asset,strategy,n_paths,usable_blocks,median_sharpe,q1_sharpe,q3_sharpe,frac_paths_positive,median_return,total_trades
SOL,adx_trend,21,7,0.33589376000232496,-0.6033009187638161,1.7649010673919145,0.7142857142857143,0.06976696834375695,44
SOL,atr_sized,21,7,-0.038009389354608174,-0.5733124623185046,0.715865825582343,0.47619047619047616,-0.0025028163801267267,743
SOL,bb_breakout,21,7,0.4812586198405186,-0.06788882901486873,1.6257205003939106,0.6666666666666666,0.1589219592080673,58
SOL,bb_reversion,21,7,-0.11393416248510864,-0.6312055886138834,0.27889336596424497,0.42857142857142855,-0.19079422653504718,50
SOL,breakout,21,7,0.07815893865840046,-0.37237012412348314,1.5386741286711223,0.5238095238095238,-0.06376972518584112,52
SOL,buy_and_hold,28,8,0.53383105432224,-0.09497628957104505,1.3388722995466442,0.6785714285714286,0.09389190960717592,16
SOL,dual_momentum,21,7,-0.3191276720297687,-0.753421447265189,0.7059942717931464,0.42857142857142855,-0.3717536896050968,212
SOL,garch_voltarget,21,7,-0.028338234102461814,-0.5666316581802053,0.6401856588046181,0.47619047619047616,-0.12157015954106765,711
SOL,grid,21,7,-0.15211290512723388,-0.3278043428518474,0.04132558866331898,0.2857142857142857,-0.16712914208322327,599
SOL,hurst_switch,15,6,0.6988538792467518,0.6087740232696004,1.7759523027687751,0.9333333333333333,0.16730644158508312,24
SOL,ichimoku,21,7,0.023188549805589462,-0.3787879297929782,1.6758451683740119,0.5714285714285714,-0.10890350303863727,82
SOL,keltner,21,7,0.21341015660241713,0.008155033987530461,1.6642117189410512,0.7619047619047619,0.02178617073942557,38
SOL,ma_crossover,21,7,-0.3338083591464246,-0.8060242428728898,1.380390212793307,0.38095238095238093,-0.31701961464419204,38
SOL,ma_ribbon,21,7,-0.33568516321049335,-0.6540904100431342,1.3028846857679184,0.42857142857142855,-0.2900253325421135,965
SOL,macd,21,7,0.32063561817327296,-0.2558586121179884,1.0208734296149156,0.6666666666666666,0.03787374178117764,118
SOL,obv_trend,21,7,0.18858232510559558,-0.474890476090869,1.0610573975463833,0.6666666666666666,-0.09814695172443,220
SOL,ou_reversion,15,6,0.41221928193797036,0.21272115612945408,1.0031304151860512,0.9333333333333333,0.104521013212312,26
SOL,rsi,21,7,0.2382302904053016,-0.14691694200918365,0.5171646889847825,0.7142857142857143,-0.0003338789576315948,18
SOL,sma_regime,21,7,-0.06562638110519782,-0.6284414003069787,0.8938477293503029,0.47619047619047616,-0.16353366660861568,96
SOL,stochastic,21,7,-0.04337882564273385,-0.38827248660839286,0.7870267319838404,0.47619047619047616,-0.13263383716830746,56
SOL,ts_momentum,21,7,0.024999413506447778,-0.4634220743523097,1.2887610289967053,0.5238095238095238,-0.19435681551493011,142
SOL,vol_regime,15,6,-0.17172739474568682,-0.6833342887093492,0.07520970510009281,0.4,-0.18716130638841133,94
SOL,voltarget,21,7,-0.021491765791798692,-0.536719281184786,0.6168103592864574,0.38095238095238093,-0.1468985450380944,645
SOL,vwap_reversion,21,7,-0.26507829591536625,-0.3623809409686341,0.2248181142423193,0.2857142857142857,-0.3837037208595435,152
SOL,zscore,21,7,0.03626502465125298,-0.5389148573332941,0.424993171553525,0.5238095238095238,-0.10027369490461724,50
DOGE,adx_trend,21,7,0.1878550328318433,-0.7210858703138071,0.916376128896584,0.6666666666666666,-0.07271139699465912,54
DOGE,atr_sized,21,7,0.2669901623735327,-0.046853000190131985,0.8856343488842118,0.6666666666666666,0.01613180147580273,646
