what,median_sharpe,iqr,frac_positive,median_return,trades,evaluable
baseline,0.6963665172944979,0.8229623956700485,0.8,0.36125889083979823,54,True
vol_regime: vol_window 60→54,0.7532274265631385,0.8728611826646593,0.8,0.32458958451927034,60,True
vol_regime: vol_window 60→66,0.7190650623504096,0.6114975107547911,0.8666666666666667,0.30851861648540213,56,True
vol_regime: lookback 250→225,0.33204221707610765,0.6220269698138172,0.7619047619047619,0.05001407198776775,54,True
vol_regime: lookback 250→275,0.6030750588382646,0.6863885675001986,0.8666666666666667,0.22221513132279624,54,True
vol_regime: trend_window 200→180,0.5043277816462851,0.8658300533852714,0.7333333333333333,0.17241479249018044,64,True
vol_regime: trend_window 200→220,0.8403968890001807,0.7783432357236774,0.8666666666666667,0.40490349677633297,60,True
