a,b,family_a,family_b,cross_family,corr,agree_active,agree_all,redundant
zscore,garch_voltarget,mean-reversion,sma-gated,True,-0.35119640294559573,0.07400881057268723,0.35283251231527096,False
zscore,ichimoku,mean-reversion,trend,True,-0.3533397456486205,0.043264503441494594,0.40086206896551724,False
vwap_reversion,garch_voltarget,mean-reversion,sma-gated,True,-0.3536694483653951,0.18080357142857142,0.32204433497536944,False
vwap_reversion,voltarget,mean-reversion,sma-gated,True,-0.35555017213548834,0.18080357142857142,0.32204433497536944,False
vwap_reversion,sma_regime,mean-reversion,sma-gated,True,-0.35652744477242737,0.18080357142857142,0.32204433497536944,False
macd,bb_reversion,trend,mean-reversion,True,-0.360071776993928,0.08445945945945946,0.33251231527093594,False
keltner,stochastic,breakout,oscillator-reversion,True,-0.3609899005090259,0.0,0.4618226600985222,False
ma_crossover,stochastic,trend,oscillator-reversion,True,-0.3610425900349525,0.09137489325362938,0.3448275862068966,False
bb_reversion,ichimoku,mean-reversion,trend,True,-0.36427935334614214,0.04271844660194175,0.39285714285714285,False
bb_breakout,zscore,breakout,mean-reversion,True,-0.36642806185310994,0.0,0.46366995073891626,False
zscore,atr_sized,mean-reversion,sma-gated,True,-0.37147288545004564,0.07400881057268723,0.35283251231527096,False
bb_reversion,bb_breakout,mean-reversion,breakout,True,-0.3739128327263893,0.0,0.45566502463054187,False
vwap_reversion,atr_sized,mean-reversion,sma-gated,True,-0.38141084366548134,0.18080357142857142,0.32204433497536944,False
rsi,ichimoku,oscillator-reversion,trend,True,-0.3816145316990483,0.0,0.42610837438423643,False
stochastic,ichimoku,oscillator-reversion,trend,True,-0.3831065095491986,0.056724611161939616,0.36514778325123154,False
stochastic,atr_sized,oscillator-reversion,sma-gated,True,-0.3859794864716015,0.08512396694214876,0.3183497536945813,False
ts_momentum,stochastic,momentum,oscillator-reversion,True,-0.3909368271037616,0.09659090909090909,0.3146551724137931,False
vwap_reversion,ichimoku,mean-reversion,trend,True,-0.3935687517033541,0.1207843137254902,0.30972906403940886,False
stochastic,voltarget,oscillator-reversion,sma-gated,True,-0.3938855529951358,0.08512396694214876,0.3183497536945813,False
stochastic,garch_voltarget,oscillator-reversion,sma-gated,True,-0.39454818176896195,0.08512396694214876,0.3183497536945813,False
stochastic,obv_trend,oscillator-reversion,volume-flow,True,-0.39694953907796265,0.07925801011804384,0.3275862068965517,False
stochastic,sma_regime,oscillator-reversion,sma-gated,True,-0.40066320302754505,0.08512396694214876,0.3183497536945813,False
grid,vol_regime,mean-reversion,regime-filter,True,-0.4021385768155182,0.07426160337552742,0.32450738916256155,False
ma_crossover,rsi,trend,oscillator-reversion,True,-0.4078941744128907,0.011505273250239693,0.36514778325123154,False
bb_breakout,stochastic,breakout,oscillator-reversion,True,-0.4210714547380686,0.0,0.40578817733990147,False
obv_trend,zscore,volume-flow,mean-reversion,True,-0.4271405099728282,0.0421792618629174,0.3288177339901478,False
bb_reversion,obv_trend,mean-reversion,volume-flow,True,-0.4398292105270983,0.04170286707211121,0.3208128078817734,False
breakout,zscore,breakout,mean-reversion,True,-0.44000701511438234,0.0,0.38608374384236455,False
keltner,grid,breakout,mean-reversion,True,-0.4410634674540316,0.0,0.26539408866995073,False
rsi,atr_sized,oscillator-reversion,sma-gated,True,-0.4438459843324224,0.0,0.3288177339901478,False
vwap_reversion,ma_ribbon,mean-reversion,trend,True,-0.445559258397079,0.30318802862719585,0.34051724137931033,False
breakout,bb_reversion,breakout,mean-reversion,True,-0.44899473203243584,0.0,0.37807881773399016,False
grid,adx_trend,mean-reversion,regime-filter,True,-0.4545380302663128,0.005756578947368421,0.2555418719211823,False
rsi,voltarget,oscillator-reversion,sma-gated,True,-0.4569900839338677,0.0,0.3288177339901478,False
rsi,garch_voltarget,oscillator-reversion,sma-gated,True,-0.4583605273656668,0.0,0.3288177339901478,False
zscore,ma_ribbon,mean-reversion,trend,True,-0.46372155364831014,0.12448418156808803,0.21613300492610837,False
rsi,sma_regime,oscillator-reversion,sma-gated,True,-0.4655018340580205,0.0,0.3288177339901478,False
rsi,ts_momentum,oscillator-reversion,momentum,True,-0.4657645138453041,0.006244424620874219,0.31403940886699505,False
bb_reversion,ma_ribbon,mean-reversion,trend,True,-0.4660307281053323,0.13342503438789546,0.22413793103448276,False
stochastic,dual_momentum,oscillator-reversion,momentum,True,-0.47291876180651743,0.06415396952686447,0.2814039408866995,False
grid,dual_momentum,mean-reversion,momentum,True,-0.4881897285421131,0.13988919667590027,0.23522167487684728,False
breakout,stochastic,breakout,oscillator-reversion,True,-0.4945749062101335,0.0036798528058877645,0.333128078817734,False
bb_breakout,grid,breakout,mean-reversion,True,-0.4976789110576248,0.00864100549882168,0.2229064039408867,False
zscore,dual_momentum,mean-reversion,momentum,True,-0.49995152660362085,0.02835696413678065,0.28263546798029554,False
vwap_reversion,adx_trend,mean-reversion,regime-filter,True,-0.5039088552097782,0.011158798283261802,0.29064039408866993,False
bb_reversion,dual_momentum,mean-reversion,momentum,True,-0.5129638615527281,0.028052805280528052,0.2746305418719212,False
keltner,vwap_reversion,breakout,mean-reversion,True,-0.5136419302588889,0.0,0.29310344827586204,False
rsi,ma_ribbon,oscillator-reversion,trend,True,-0.522834165375743,0.04005524861878453,0.1440886699507389,False
stochastic,ma_ribbon,oscillator-reversion,trend,True,-0.5339634324856477,0.14503311258278145,0.20504926108374386,False
obv_trend,grid,volume-flow,mean-reversion,True,-0.5430329209242623,0.11584089323098395,0.21982758620689655,False
macd,vwap_reversion,trend,mean-reversion,True,-0.5455107282801783,0.1326883206634416,0.2272167487684729,False
breakout,grid,breakout,mean-reversion,True,-0.5890972807578045,0.01878612716763006,0.16379310344827586,False
bb_breakout,vwap_reversion,breakout,mean-reversion,True,-0.5963511030716891,0.0008077544426494346,0.23830049261083744,False
breakout,vwap_reversion,breakout,mean-reversion,True,-0.6132882961311739,0.030966767371601207,0.20997536945812809,False
ts_momentum,grid,momentum,mean-reversion,True,-0.6166277082286117,0.1360544217687075,0.21798029556650247,False
grid,atr_sized,mean-reversion,sma-gated,True,-0.6298392556588367,0.11171662125340599,0.19704433497536947,False
voltarget,grid,sma-gated,mean-reversion,True,-0.630087408989335,0.11171662125340599,0.19704433497536947,False
grid,garch_voltarget,mean-reversion,sma-gated,True,-0.6316296914217527,0.11171662125340599,0.19704433497536947,False
ma_crossover,grid,trend,mean-reversion,True,-0.63393115864519,0.08935879945429741,0.17795566502463053,False
vwap_reversion,obv_trend,mean-reversion,volume-flow,True,-0.6381429379934935,0.0784177654406662,0.18226600985221675,False
sma_regime,grid,sma-gated,mean-reversion,True,-0.6392366600762074,0.11171662125340599,0.19704433497536947,False
grid,ichimoku,mean-reversion,trend,True,-0.6445540913620521,0.021483021483021482,0.13054187192118227,False
vwap_reversion,dual_momentum,mean-reversion,momentum,True,-0.7207858578357641,0.06804536357571714,0.13977832512315272,False
grid,ma_ribbon,mean-reversion,trend,True,-0.7564390689548032,0.2704714640198511,0.27586206896551724,False
