horizon,label,median_sharpe,iqr,max_abs_delta,ratio_to_iqr,sign_flips,perturbations,frac_positive,trades
short,buy_and_hold,-1.455508986618464,2.1539705807848413,,,0,0,0.2857142857142857,16
short,ma_crossover,-2.384863013543206,3.3263718653157235,0.37859956088857993,0.11381756947750189,0,4,0.09523809523809523,204
short,macd,-3.0830512202691067,2.2228007628423265,0.29327225806131274,0.13193816691258528,0,6,0.0,1156
short,ts_momentum,-2.5644161980049804,2.0176444310327315,0.6011163612981867,0.29792977992187913,0,2,0.0,716
short,sma_regime,-2.2816780017762817,1.2779025416049983,0.2211401801209787,0.17304933116670604,0,2,0.047619047619047616,292
short,breakout,-1.9053920458208842,2.8089625451830775,0.7580082829573629,0.2698534675221021,0,4,0.14285714285714285,350
short,bb_breakout,-1.4874651926583589,3.1137210642799054,0.6987206283678868,0.22440052077351907,0,4,0.2857142857142857,270
short,keltner,-0.9613454889290572,2.4770825752920373,0.8215552633753418,0.3316624449947875,0,6,0.2857142857142857,88
short,rsi,-1.7225129793226104,1.0516489328771588,0.7192547399703249,0.6839304614730586,0,6,0.14285714285714285,328
short,stochastic,-0.34132946506111556,2.117115670390454,0.4571932330003835,0.21595099379528215,1,4,0.38095238095238093,240
short,bb_reversion,-1.3156091611630525,1.396442994066796,0.4922391648850075,0.35249499405019197,0,4,0.14285714285714285,308
short,zscore,-1.151777891329087,1.2127932637060268,0.33935583190031204,0.27981342084908684,0,4,0.19047619047619047,294
short,vwap_reversion,-2.1888621084661355,0.8359390555899628,0.23568559088493668,0.2819411167702912,0,4,0.0,398
short,grid,-2.0218645600078777,0.7311256297411552,0.5692870764881017,0.7786446724479482,0,6,0.0,4304
short,obv_trend,-1.580413809559001,1.6683790257738433,0.43179965522892916,0.2588138837508148,0,2,0.23809523809523808,852
short,voltarget,-2.2816780017762817,1.2779025416049983,0.2211401801209787,0.17304933116670604,0,6,0.047619047619047616,292
short,dual_momentum,-4.632749667659762,2.094472425696807,0.9780260207933904,0.4669557874308192,0,4,0.0,728
short,adx_trend,-3.7362128925524742,2.4963253364376463,1.1489447045471213,0.4602543938390299,0,4,0.047619047619047616,680
short,ma_ribbon,-2.7670689669994313,2.727164831599475,0.3832188877681908,0.14051915136476512,0,4,0.047619047619047616,4572
short,ichimoku,-1.8768241588899766,1.1742079023531746,0.2934859712598643,0.2499437882096543,0,8,0.0,392
short,ou_reversion,-0.5949070436498937,1.3333287661872306,0.8634314862651203,0.6475758328789213,0,6,0.3333333333333333,196
short,hurst_switch,-3.122626538340199,2.1066099976986625,0.5163899984392861,0.24512842861441336,0,6,0.14285714285714285,170
short,vol_regime,-1.0480333942321125,1.6765068407891743,0.827610358454808,0.4936516441920576,0,6,0.19047619047619047,290
short,atr_sized,-2.5482818904570674,2.2979606543534645,0.27172243628361903,0.11824503425193267,0,4,0.047619047619047616,3191
short,garch_voltarget,-2.2816780017762817,1.2779025416049983,0.2211401801209787,0.17304933116670604,0,5,0.047619047619047616,292
