a,b,family_a,family_b,cross_family,corr,agree_active,agree_all,redundant
adx_trend,hurst_switch,regime-filter,regime-filter,False,0.4166937954310206,0.2471264367816092,0.9193349753694581,False
keltner,ts_momentum,breakout,momentum,True,0.41201828280775615,0.43329253365973075,0.7149014778325123,False
breakout,atr_sized,breakout,sma-gated,True,0.40936127575054054,0.4128878281622912,0.6970443349753694,False
bb_breakout,sma_regime,breakout,sma-gated,True,0.40930477269088583,0.4213917525773196,0.7235221674876847,False
macd,obv_trend,trend,volume-flow,True,0.3991259225300326,0.5550500454959054,0.6988916256157636,False
obv_trend,atr_sized,volume-flow,sma-gated,True,0.39679312684522355,0.47047047047047047,0.6742610837438424,False
adx_trend,ma_ribbon,regime-filter,trend,True,0.3962280927144526,0.12114014251781473,0.31650246305418717,False
bb_breakout,voltarget,breakout,sma-gated,True,0.39172999720637236,0.4213917525773196,0.7235221674876847,False
adx_trend,ichimoku,regime-filter,trend,True,0.388733274101169,0.2545454545454545,0.7475369458128078,False
macd,keltner,trend,breakout,True,0.3801470916187515,0.4140786749482402,0.6514778325123153,False
dual_momentum,atr_sized,momentum,sma-gated,True,0.3749156548448651,0.4483805668016194,0.6644088669950738,False
bb_breakout,garch_voltarget,breakout,sma-gated,True,0.37454152561788484,0.4213917525773196,0.7235221674876847,False
breakout,dual_momentum,breakout,momentum,True,0.3671648628144569,0.43122270742358076,0.6791871921182266,False
obv_trend,sma_regime,volume-flow,sma-gated,True,0.3567360864789051,0.47047047047047047,0.6742610837438424,False
breakout,sma_regime,breakout,sma-gated,True,0.35440120161343186,0.4128878281622912,0.6970443349753694,False
obv_trend,voltarget,volume-flow,sma-gated,True,0.34686203713660146,0.47047047047047047,0.6742610837438424,False
breakout,voltarget,breakout,sma-gated,True,0.3448683757415029,0.4128878281622912,0.6970443349753694,False
ma_ribbon,vol_regime,trend,regime-filter,True,0.34485877276036236,0.3052464228934817,0.4618226600985222,False
dual_momentum,ma_ribbon,momentum,trend,True,0.3415279448342627,0.530827067669173,0.6157635467980296,False
dual_momentum,ichimoku,momentum,trend,True,0.33970083803639234,0.4146868250539957,0.666256157635468,False
obv_trend,garch_voltarget,volume-flow,sma-gated,True,0.3359211636968016,0.47047047047047047,0.6742610837438424,False
breakout,garch_voltarget,breakout,sma-gated,True,0.3358328442188689,0.4128878281622912,0.6970443349753694,False
rsi,vwap_reversion,oscillator-reversion,mean-reversion,True,0.33416547544384845,0.36621315192743764,0.6557881773399015,False
ma_crossover,keltner,trend,breakout,True,0.33350856298039644,0.38341346153846156,0.6841133004926109,False
macd,bb_breakout,trend,breakout,True,0.3323655012144341,0.37743589743589745,0.6262315270935961,False
ts_momentum,vol_regime,momentum,regime-filter,True,0.3298603433963181,0.34577114427860695,0.6761083743842364,False
sma_regime,dual_momentum,sma-gated,momentum,True,0.32749572625351936,0.4483805668016194,0.6644088669950738,False
voltarget,dual_momentum,sma-gated,momentum,True,0.32496381765119065,0.4483805668016194,0.6644088669950738,False
obv_trend,adx_trend,volume-flow,regime-filter,True,0.3232762040987118,0.19315403422982885,0.5935960591133005,False
sma_regime,adx_trend,sma-gated,regime-filter,True,0.32193434191205866,0.20864381520119224,0.6730295566502463,False
adx_trend,atr_sized,regime-filter,sma-gated,True,0.32109699212668313,0.20864381520119224,0.6730295566502463,False
dual_momentum,garch_voltarget,momentum,sma-gated,True,0.313545940976161,0.4483805668016194,0.6644088669950738,False
breakout,ts_momentum,breakout,momentum,True,0.30926503088338814,0.3902714932126697,0.6681034482758621,False
dual_momentum,vol_regime,momentum,regime-filter,True,0.27916062871382136,0.318233295583239,0.6293103448275862,False
bb_breakout,vol_regime,breakout,regime-filter,True,0.27828804942504626,0.3001555209953344,0.7229064039408867,False
dual_momentum,adx_trend,momentum,regime-filter,True,0.2726096471907072,0.17839195979899497,0.5972906403940886,False
obv_trend,vol_regime,volume-flow,regime-filter,True,0.27022284799049123,0.31366120218579235,0.6133004926108374,False
ma_crossover,adx_trend,trend,regime-filter,True,0.2677670480619763,0.18413597733711048,0.645320197044335,False
ts_momentum,adx_trend,momentum,regime-filter,True,0.26271813077854417,0.18068965517241378,0.6342364532019704,False
bb_breakout,ts_momentum,breakout,momentum,True,0.2623207986129713,0.33488372093023255,0.6477832512315271,False
adx_trend,garch_voltarget,regime-filter,sma-gated,True,0.2507266758475031,0.20864381520119224,0.6730295566502463,False
vwap_reversion,ou_reversion,mean-reversion,mean-reversion,False,0.24762201345393767,0.16125,0.5868226600985221,False
ma_crossover,breakout,trend,breakout,True,0.24275005316653214,0.34933035714285715,0.6410098522167488,False
voltarget,adx_trend,sma-gated,regime-filter,True,0.2422441013360604,0.20864381520119224,0.6730295566502463,False
