what,median_sharpe,iqr,frac_positive,median_return,trades,evaluable
baseline,1.0541212061208953,1.1797950024648642,0.9333333333333333,0.9360633779393037,90,True
ou_reversion: fit_window 250→225,0.6082251783522065,1.40235475243841,0.7619047619047619,0.27418363423094916,108,True
ou_reversion: fit_window 250→275,0.7861641858550766,1.501043861297317,0.9333333333333333,0.4686842745807178,84,True
ou_reversion: entry_z -2→-1.8,1.0541212061208953,1.0515834775777204,0.9333333333333333,0.9360633779393037,92,True
ou_reversion: entry_z -2→-2.2,1.0541212061208953,1.508843775598381,0.9333333333333333,0.9360633779393037,90,True
ou_reversion: hold_multiple 3→2.7,1.0541212061208953,1.1520758672831297,0.9333333333333333,0.9360633779393037,90,True
ou_reversion: hold_multiple 3→3.3,1.0541212061208953,1.2057110946994687,0.9333333333333333,0.9360633779393037,90,True
obv_trend: ma_window 60→54,1.2249950036866655,1.1239359659908361,0.9333333333333333,1.1436433356511841,94,True
obv_trend: ma_window 60→66,0.854192811585655,1.3283281411440964,0.9333333333333333,0.5617881811373402,88,True
